GENESIS-Tabelle: 12421-0002
Projected population figures: Germany, reference date,;;;;;;;;;;;;;;
variants of the population projection, sex, age years;;;;;;;;;;;;;;
Population projections;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;
Projected population figures (1000);;;;;;;;;;;;;;
;;;;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date
;;;;2022-12-31;2025-12-31;2030-12-31;2035-12-31;2040-12-31;2045-12-31;2050-12-31;2055-12-31;2060-12-31;2065-12-31;2070-12-31
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;75 years;381.0;451.7;471.9;549.3;585.4;503.9;414.2;479.6;484.8;523.8;465.9
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;80 years;353.1;260.6;397.5;418.2;490.0;525.3;454.6;375.5;437.1;444.0;481.9
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;85 years;312.7;357.6;202.9;313.8;334.1;395.7;428.7;374.5;312.1;366.7;375.6
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;90 years;124.5;167.3;210.7;122.3;193.8;210.9;255.1;281.9;250.9;212.8;254.4
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;95 years;41.4;45.5;59.5;78.5;47.4;78.4;88.6;111.2;127.3;117.1;102.5
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;100 years and over;16.8;16.3;19.2;25.4;39.2;34.5;45.3;58.9;77.8;100.9;108.6
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;Total;42784.6;43075.9;43294.8;43267.7;43166.3;42980.8;42707.1;42377.3;42076.8;41891.3;41798.8
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;under 1 year;756.4;773.3;773.4;751.3;738.0;745.4;757.3;755.1;744.5;733.6;724.6
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;5 years;832.5;818.9;798.1;792.5;769.7;756.3;763.8;775.8;773.6;763.0;752.2
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;10 years;776.5;834.6;842.7;816.5;810.2;787.4;774.1;781.6;793.6;791.4;780.9
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;15 years;777.7;797.1;858.4;861.0;834.1;827.9;805.1;791.8;799.3;811.3;809.2
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;20 years;832.4;827.3;853.0;902.1;903.9;877.1;870.9;848.3;835.0;842.5;854.6
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;25 years;1005.2;969.5;905.1;912.9;959.6;961.5;934.8;928.8;906.2;893.0;900.6
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;30 years;1034.0;1014.9;1021.9;945.3;951.3;998.1;1000.1;973.5;967.5;945.0;932.0
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;35 years;1139.6;1179.2;1045.7;1045.4;968.0;974.2;1021.0;1023.2;996.7;990.9;968.5
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;40 years;1092.5;1099.0;1197.4;1059.7;1058.9;982.0;988.3;1035.3;1037.6;1011.4;1005.7
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;45 years;1002.9;1094.1;1110.7;1205.0;1067.8;1067.5;991.2;997.8;1045.0;1047.6;1021.7
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;50 years;1044.3;957.4;1095.7;1110.3;1204.2;1068.6;1068.8;993.6;1000.6;1047.9;1050.9
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;55 years;1343.6;1169.9;947.0;1083.5;1098.7;1192.4;1059.4;1060.4;986.7;994.3;1041.8
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;60 years;1322.7;1346.5;1139.3;923.9;1058.9;1075.3;1168.6;1039.5;1041.9;970.5;979.1
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;65 years;1091.7;1207.2;1286.5;1092.0;887.5;1020.1;1038.2;1130.8;1007.6;1011.8;944.0
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;70 years;928.3;963.1;1125.6;1205.5;1027.1;837.4;966.3;986.5;1077.8;962.7;969.5
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;75 years;701.5;825.7;867.6;1020.8;1099.4;941.4;771.1;894.1;916.7;1005.6;901.4
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;80 years;625.3;457.5;700.5;742.8;881.0;955.9;824.4;679.6;793.5;818.2;902.7
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;85 years;516.8;594.2;338.7;527.3;566.6;680.5;747.1;651.8;543.1;641.0;667.3
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Total;90 years;186.6;255.7;327.6;191.4;305.8;336.2;412.7;462.6;412.0;350.1;421.0
